"x","y","z","ROI","SystemLabel","SystemName","Color","r","g","b","Anatomy","Lobe"
-2.05286741256714,-2.6578254699707,41.860969543457,40,1,"Sensory/Somatomotor Hand","Cyan",0,205,205,"Precentral Gyrus Medial Segment","Frontal"
-32.836483001709,-5.95291519165039,32.2148361206055,41,1,"Sensory/Somatomotor Hand","Cyan",0,205,205,"Postcentral Gyrus","Parietal"
47.3009567260742,-9.85031890869141,23.7677688598633,42,2,"Sensory/Somatomotor Mouth","Orange",255,165,0,"Precentral Gyrus","Frontal"
-32.1940994262695,-16.8172378540039,9.77599048614502,43,2,"Sensory/Somatomotor Mouth","Orange",255,165,0,"Posterior Insula","Limbic"
-47.210578918457,-14.75465965271,23.7238636016846,44,2,"Sensory/Somatomotor Mouth","Orange",255,165,0,"Precentral Gyrus","Frontal"
50.1449279785156,-15.8912134170532,16.6634521484375,45,2,"Sensory/Somatomotor Mouth","Orange",255,165,0,"Postcentral Gyrus","Parietal"
-60.8638687133789,-15.6116771697998,18.6956157684326,46,2,"Sensory/Somatomotor Mouth","Orange",255,165,0,"Postcentral Gyrus","Parietal"
4.41814279556274,-19.0783309936523,43.4228134155273,47,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Supplementary Motor Cortex","Frontal"
-49.3749885559082,2.06105804443359,21.5147514343262,48,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Parietal Operculum","Parietal"
-15.7923183441162,-9.26917266845703,49.1387710571289,49,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Superior Frontal Gyrus","Frontal"
14.4207639694214,-7.46511077880859,55.8584899902344,50,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Superior Frontal Gyrus","Frontal"
10.3582019805908,-17.8662605285645,34.1981658935547,51,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Middle Cingulate Gyrus","Limbic"
-32.3694190979004,-31.2886600494385,-3.04582548141479,52,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Posterior Insula","Limbic"
-9.7205057144165,-13.0479412078857,54.6105117797852,53,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Superior Frontal Gyrus","Frontal"
-6.88994884490967,-25.5691184997559,44.860107421875,54,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Supplementary Motor Cortex","Frontal"
42.2107009887695,-27.6519184112549,8.8058500289917,55,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Central Operculum","Frontal"
-41.7056732177734,-37.0529479980469,1.37035691738129,56,3,"Cingulo-opercular Task Control","Purple",160,32,240,"Central Operculum","Frontal"
